,id,pos,category,stereotype,lemma,level,off_nonoff,term-or-expression,explicit-or-implicit,en-contextual-label,en-hate-label
0,EN858,n,an,no,sucker,inclusive,0.99970684,term,explicit,1.0,0
1,EN858,n,cds,no,sucker,conservative,0.99970684,term,explicit,1.0,0
2,EN858,n,asf,no,sucker,conservative,0.99970684,term,explicit,1.0,0
3,EN858,n,ps,yes,sucker,conservative,0.99970684,term,explicit,1.0,0
4,EN858,n,asm,no,sucker,conservative,0.99970684,term,explicit,1.0,0
5,EN858,n,ddp,yes,sucker,conservative,0.99970684,term,explicit,1.0,0
6,EN858,n,an,no,sucker,conservative,0.99970684,term,explicit,1.0,0
7,EN4964,n,dmc,yes,deceiver,conservative,0.78269834,expression,explicit,0.0,0
8,EN19,n,dmc,yes,abject,inclusive,0.54344854,term,explicit,1.0,0
9,EN7559,a,dmc,yes,abject,conservative,-0.079926126,term,explicit,1.0,0
10,EN7315,a,cds,no,fascist,inclusive,0.42207066,term,explicit,0.0,partyism
11,EN3808,n,cds,no,fascist,conservative,0.70326993,term,explicit,0.0,partyism
12,EN3808,n,ps,yes,fascist,inclusive,0.70326993,term,explicit,0.0,partyism
13,EN896,n,an,no,whore,conservative,2.3926588,term,explicit,0.0,sexism
14,EN896,n,an,no,whore,conservative,2.3926588,term,explicit,1.0,sexism
15,EN896,n,an,no,whore,conservative,2.3926588,term,explicit,1.0,sexism
16,EN896,n,pr,no,whore,conservative,2.3926588,term,explicit,0.0,sexism
17,EN896,n,pr,no,whore,conservative,2.3926588,term,explicit,1.0,sexism
18,EN896,n,pr,no,whore,conservative,2.3926588,term,explicit,1.0,sexism
19,EN5066,n,re,no,murderer,inclusive,1.6137534,term,explicit,1.0,0
20,EN5066,n,re,no,murderer,inclusive,1.6137534,term,explicit,1.0,0
21,EN1918,n,cds,no,retard,inclusive,1.9264918,term,explicit,0.0,0
22,EN1918,n,cds,no,retard,inclusive,1.9264918,term,explicit,0.0,0
23,EN1918,n,cds,no,retard,inclusive,1.9264918,term,explicit,0.0,0
24,EN1918,n,cds,no,retard,inclusive,1.9264918,term,explicit,0.0,0
25,EN1918,n,cds,no,retard,inclusive,1.9264918,expression,explicit,1.0,0
26,EN1918,n,ddp,yes,retard,conservative,1.9264918,term,explicit,0.0,0
27,EN1918,n,ddp,yes,retard,conservative,1.9264918,term,explicit,0.0,0
28,EN1918,n,ddp,yes,retard,conservative,1.9264918,term,explicit,0.0,0
29,EN1918,n,ddp,yes,retard,conservative,1.9264918,term,explicit,0.0,0
30,EN1918,n,ddp,yes,retard,conservative,1.9264918,expression,explicit,1.0,0
31,EN1918,n,asf,no,retard,conservative,1.9264918,term,explicit,0.0,0
32,EN1918,n,asf,no,retard,conservative,1.9264918,term,explicit,0.0,0
33,EN1918,n,asf,no,retard,conservative,1.9264918,term,explicit,0.0,0
34,EN1918,n,asf,no,retard,conservative,1.9264918,term,explicit,0.0,0
35,EN1918,n,asf,no,retard,conservative,1.9264918,expression,explicit,1.0,0
36,EN1918,n,ps,yes,retard,conservative,1.9264918,term,explicit,0.0,0
37,EN1918,n,ps,yes,retard,conservative,1.9264918,term,explicit,0.0,0
38,EN1918,n,ps,yes,retard,conservative,1.9264918,term,explicit,0.0,0
39,EN1918,n,ps,yes,retard,conservative,1.9264918,term,explicit,0.0,0
40,EN1918,n,ps,yes,retard,conservative,1.9264918,expression,explicit,1.0,0
41,EN1918,n,ddp,yes,retard,inclusive,1.9264918,term,explicit,0.0,0
42,EN1918,n,ddp,yes,retard,inclusive,1.9264918,term,explicit,0.0,0
43,EN1918,n,ddp,yes,retard,inclusive,1.9264918,term,explicit,0.0,0
44,EN1918,n,ddp,yes,retard,inclusive,1.9264918,term,explicit,0.0,0
45,EN1918,n,ddp,yes,retard,inclusive,1.9264918,expression,explicit,1.0,0
46,EN1918,n,asm,no,retard,inclusive,1.9264918,term,explicit,0.0,0
47,EN1918,n,asm,no,retard,inclusive,1.9264918,term,explicit,0.0,0
48,EN1918,n,asm,no,retard,inclusive,1.9264918,term,explicit,0.0,0
49,EN1918,n,asm,no,retard,inclusive,1.9264918,term,explicit,0.0,0
50,EN1918,n,asm,no,retard,inclusive,1.9264918,expression,explicit,1.0,0
51,EN5045,a,ddp,yes,incompetent,conservative,1.4197153,term,explicit,0.0,0
52,EN4909,n,an,no,incompetent,conservative,1.6904732,term,explicit,0.0,0
53,EN4909,n,ddp,yes,incompetent,conservative,1.6904732,term,explicit,0.0,0
54,EN870,n,ddp,yes,stupid,conservative,3.3238818,term,explicit,1.0,0
55,EN870,n,ddp,yes,stupid,conservative,3.3238818,term,explicit,1.0,0
56,EN870,n,ddp,yes,stupid,conservative,3.3238818,term,explicit,1.0,0
57,EN870,n,ddp,yes,stupid,conservative,3.3238818,term,explicit,0.0,0
58,EN870,n,ddp,yes,stupid,conservative,3.3238818,term,explicit,1.0,0
59,EN870,n,ddp,yes,stupid,conservative,3.3238818,term,explicit,1.0,0
60,EN870,n,cds,no,stupid,conservative,3.3238818,term,explicit,1.0,0
61,EN870,n,cds,no,stupid,conservative,3.3238818,term,explicit,1.0,0
62,EN870,n,cds,no,stupid,conservative,3.3238818,term,explicit,1.0,0
63,EN870,n,cds,no,stupid,conservative,3.3238818,term,explicit,0.0,0
64,EN870,n,cds,no,stupid,conservative,3.3238818,term,explicit,1.0,0
65,EN870,n,cds,no,stupid,conservative,3.3238818,term,explicit,1.0,0
66,EN870,n,or,no,stupid,conservative,3.3238818,term,explicit,1.0,0
67,EN870,n,or,no,stupid,conservative,3.3238818,term,explicit,1.0,0
68,EN870,n,or,no,stupid,conservative,3.3238818,term,explicit,1.0,0
69,EN870,n,or,no,stupid,conservative,3.3238818,term,explicit,0.0,0
70,EN870,n,or,no,stupid,conservative,3.3238818,term,explicit,1.0,0
71,EN870,n,or,no,stupid,conservative,3.3238818,term,explicit,1.0,0
72,EN1055,a,ddp,yes,stupid,conservative,3.1918846,term,explicit,1.0,0
73,EN1055,a,ddp,yes,stupid,conservative,3.1918846,term,explicit,1.0,0
74,EN1055,a,ddp,yes,stupid,conservative,3.1918846,term,explicit,1.0,0
75,EN1055,a,ddp,yes,stupid,conservative,3.1918846,term,explicit,0.0,0
76,EN1055,a,ddp,yes,stupid,conservative,3.1918846,term,explicit,1.0,0
77,EN1055,a,ddp,yes,stupid,conservative,3.1918846,term,explicit,1.0,0
78,EN1055,a,cds,no,stupid,conservative,3.1918846,term,explicit,1.0,0
79,EN1055,a,cds,no,stupid,conservative,3.1918846,term,explicit,1.0,0
80,EN1055,a,cds,no,stupid,conservative,3.1918846,term,explicit,1.0,0
81,EN1055,a,cds,no,stupid,conservative,3.1918846,term,explicit,0.0,0
82,EN1055,a,cds,no,stupid,conservative,3.1918846,term,explicit,1.0,0
83,EN1055,a,cds,no,stupid,conservative,3.1918846,term,explicit,1.0,0
84,EN2442,n,om,no,fag,conservative,2.1958758,term,explicit,1.0,homophobia
85,EN2442,n,om,no,fag,inclusive,2.1958758,term,explicit,1.0,homophobia
86,EN2442,n,or,no,fag,conservative,2.1958758,term,explicit,1.0,homophobia
87,EN722,n,dmc,yes,bandit,conservative,-0.29934785,expression,explicit,1.0,0
88,EN722,n,cds,no,bandit,inclusive,-0.29934785,expression,explicit,1.0,0
89,EN722,n,cds,no,bandit,conservative,-0.29934785,expression,explicit,1.0,0
90,EN543,n,asm,no,ass,conservative,3.0799801,term,explicit,1.0,0
91,EN543,n,asm,no,ass,conservative,3.0799801,term,explicit,0.0,0
92,EN543,n,an,no,ass,inclusive,3.0799801,term,explicit,1.0,0
93,EN543,n,an,no,ass,inclusive,3.0799801,term,explicit,0.0,0
94,EN543,n,om,no,ass,inclusive,3.0799801,term,explicit,1.0,0
95,EN543,n,om,no,ass,inclusive,3.0799801,term,explicit,0.0,0
96,EN4332,a,cds,no,sly,inclusive,0.54807387,term,explicit,1.0,0
97,EN4332,a,cds,no,sly,inclusive,0.54807387,term,explicit,1.0,0
98,EN4332,a,cds,no,sly,inclusive,0.54807387,term,explicit,1.0,0
99,EN4332,a,cds,no,sly,conservative,0.54807387,term,explicit,1.0,0
100,EN4332,a,cds,no,sly,conservative,0.54807387,term,explicit,1.0,0
101,EN4332,a,cds,no,sly,conservative,0.54807387,term,explicit,1.0,0
102,EN1893,n,ddp,yes,imbecile,conservative,1.8917299,term,explicit,1.0,0
103,EN1893,n,ddp,yes,imbecile,conservative,1.8917299,term,explicit,1.0,0
104,EN1893,n,asm,no,imbecile,inclusive,1.8917299,term,explicit,1.0,0
105,EN1893,n,asm,no,imbecile,inclusive,1.8917299,term,explicit,1.0,0
106,EN1893,n,cds,no,imbecile,inclusive,1.8917299,term,explicit,1.0,0
107,EN1893,n,cds,no,imbecile,inclusive,1.8917299,term,explicit,1.0,0
108,EN1893,n,asf,no,imbecile,conservative,1.8917299,term,explicit,1.0,0
109,EN1893,n,asf,no,imbecile,conservative,1.8917299,term,explicit,1.0,0
110,EN1893,n,ps,yes,imbecile,conservative,1.8917299,term,explicit,1.0,0
111,EN1893,n,ps,yes,imbecile,conservative,1.8917299,term,explicit,1.0,0
112,EN1893,n,ddp,yes,imbecile,inclusive,1.8917299,term,explicit,1.0,0
113,EN1893,n,ddp,yes,imbecile,inclusive,1.8917299,term,explicit,1.0,0
114,EN7397,a,is,yes,pathetic,conservative,2.2298695,term,explicit,0.0,0
115,EN7397,a,is,yes,pathetic,conservative,2.2298695,term,explicit,0.0,0
116,EN7397,a,qas,no,pathetic,conservative,2.2298695,term,explicit,0.0,0
117,EN7397,a,qas,no,pathetic,conservative,2.2298695,term,explicit,0.0,0
118,EN1057,a,ddp,yes,dumb,conservative,1.676346,term,explicit,1.0,0
119,EN1057,a,ddp,yes,dumb,conservative,1.676346,expression,explicit,0.0,0
120,EN1057,a,ddp,yes,dumb,conservative,1.676346,term,explicit,0.0,0
121,EN1057,a,ddp,yes,dumb,conservative,1.676346,term,explicit,1.0,0
122,EN1057,a,ddp,yes,dumb,conservative,1.676346,term,explicit,0.0,0
123,EN1057,a,ddp,yes,dumb,conservative,1.676346,term,explicit,0.0,0
124,EN1057,a,ddp,yes,dumb,conservative,1.676346,expression,implicit,1.0,0
125,EN1057,a,cds,no,dumb,conservative,1.676346,term,explicit,1.0,0
126,EN1057,a,cds,no,dumb,conservative,1.676346,expression,explicit,0.0,0
127,EN1057,a,cds,no,dumb,conservative,1.676346,term,explicit,0.0,0
128,EN1057,a,cds,no,dumb,conservative,1.676346,term,explicit,1.0,0
129,EN1057,a,cds,no,dumb,conservative,1.676346,term,explicit,0.0,0
130,EN1057,a,cds,no,dumb,conservative,1.676346,term,explicit,0.0,0
131,EN1057,a,cds,no,dumb,conservative,1.676346,expression,implicit,1.0,0
132,EN1909,n,ddp,yes,moron,conservative,3.4696771,term,explicit,1.0,0
133,EN1909,n,ddp,yes,moron,conservative,3.4696771,term,explicit,1.0,0
134,EN1909,n,ddp,yes,moron,inclusive,3.4696771,term,explicit,1.0,0
135,EN1909,n,ddp,yes,moron,inclusive,3.4696771,term,explicit,1.0,0
136,EN1909,n,ps,yes,moron,conservative,3.4696771,term,explicit,1.0,0
137,EN1909,n,ps,yes,moron,conservative,3.4696771,term,explicit,1.0,0
138,EN1909,n,asm,no,moron,inclusive,3.4696771,term,explicit,1.0,0
139,EN1909,n,asm,no,moron,inclusive,3.4696771,term,explicit,1.0,0
140,EN1909,n,cds,no,moron,inclusive,3.4696771,term,explicit,1.0,0
141,EN1909,n,cds,no,moron,inclusive,3.4696771,term,explicit,1.0,0
142,EN1909,n,asf,no,moron,conservative,3.4696771,term,explicit,1.0,0
143,EN1909,n,asf,no,moron,conservative,3.4696771,term,explicit,1.0,0
144,EN534,n,ddp,yes,dumbass,conservative,2.2690002,term,explicit,0.0,0
145,EN534,n,ddp,yes,dumbass,conservative,2.2690002,term,explicit,0.0,0
146,EN534,n,ddp,yes,dumbass,conservative,2.2690002,term,explicit,0.0,0
147,EN534,n,ddp,yes,dumbass,conservative,2.2690002,term,explicit,0.0,0
148,EN534,n,ddp,yes,dumbass,conservative,2.2690002,term,explicit,0.0,0
149,EN534,n,ddp,yes,dumbass,conservative,2.2690002,term,explicit,0.0,0
150,EN534,n,ddp,yes,dumbass,conservative,2.2690002,expression,explicit,1.0,0
151,EN534,n,or,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
152,EN534,n,or,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
153,EN534,n,or,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
154,EN534,n,or,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
155,EN534,n,or,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
156,EN534,n,or,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
157,EN534,n,or,no,dumbass,conservative,2.2690002,expression,explicit,1.0,0
158,EN534,n,asf,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
159,EN534,n,asf,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
160,EN534,n,asf,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
161,EN534,n,asf,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
162,EN534,n,asf,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
163,EN534,n,asf,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
164,EN534,n,asf,no,dumbass,conservative,2.2690002,expression,explicit,1.0,0
165,EN534,n,an,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
166,EN534,n,an,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
167,EN534,n,an,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
168,EN534,n,an,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
169,EN534,n,an,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
170,EN534,n,an,no,dumbass,conservative,2.2690002,term,explicit,0.0,0
171,EN534,n,an,no,dumbass,conservative,2.2690002,expression,explicit,1.0,0
172,EN1888,n,an,no,coward,conservative,1.6346885,term,explicit,1.0,0
173,EN1888,n,an,no,coward,conservative,1.6346885,term,explicit,0.0,0
174,EN1888,n,an,no,coward,conservative,1.6346885,term,explicit,0.0,0
175,EN1888,n,cds,no,coward,conservative,1.6346885,term,explicit,1.0,0
176,EN1888,n,cds,no,coward,conservative,1.6346885,term,explicit,0.0,0
177,EN1888,n,cds,no,coward,conservative,1.6346885,term,explicit,0.0,0
178,EN7132,a,cds,no,coward,conservative,1.221767,term,explicit,1.0,0
179,EN7132,a,cds,no,coward,conservative,1.221767,term,explicit,0.0,0
180,EN7132,a,cds,no,coward,conservative,1.221767,term,explicit,0.0,0
181,EN3729,n,cds,no,fanatic,conservative,-0.016335109,term,explicit,0.0,0
182,EN3729,n,cds,no,fanatic,conservative,-0.016335109,term,explicit,0.0,0
183,EN3196,n,dmc,yes,hypocrite,conservative,2.4136389,expression,explicit,1.0,0
184,EN3196,n,dmc,yes,hypocrite,conservative,2.4136389,term,explicit,1.0,0
185,EN1934,n,an,no,bitch,inclusive,3.2622911,term,explicit,1.0,0
186,EN1934,n,an,no,bitch,inclusive,3.2622911,expression,explicit,1.0,0
187,EN1934,n,an,no,bitch,inclusive,3.2622911,term,explicit,0.0,sexism
188,EN1934,n,an,no,bitch,inclusive,3.2622911,term,explicit,0.0,sexism
189,EN1934,n,an,no,bitch,inclusive,3.2622911,term,explicit,0.0,sexism
190,EN1934,n,an,no,bitch,inclusive,3.2622911,term,explicit,1.0,sexism
191,EN1934,n,an,no,bitch,inclusive,3.2622911,term,explicit,1.0,0
192,EN1934,n,an,no,bitch,inclusive,3.2622911,term,explicit,0.0,sexism
193,EN1934,n,an,no,bitch,inclusive,3.2622911,term,explicit,1.0,0
194,EN1934,n,an,no,bitch,inclusive,3.2622911,term,explicit,0.0,0
195,EN1934,n,pr,no,bitch,conservative,3.2622911,term,explicit,1.0,0
196,EN1934,n,pr,no,bitch,conservative,3.2622911,expression,explicit,1.0,0
197,EN1934,n,pr,no,bitch,conservative,3.2622911,term,explicit,0.0,sexism
198,EN1934,n,pr,no,bitch,conservative,3.2622911,term,explicit,0.0,sexism
199,EN1934,n,pr,no,bitch,conservative,3.2622911,term,explicit,0.0,sexism
200,EN1934,n,pr,no,bitch,conservative,3.2622911,term,explicit,1.0,sexism
201,EN1934,n,pr,no,bitch,conservative,3.2622911,term,explicit,1.0,0
202,EN1934,n,pr,no,bitch,conservative,3.2622911,term,explicit,0.0,sexism
203,EN1934,n,pr,no,bitch,conservative,3.2622911,term,explicit,1.0,0
204,EN1934,n,pr,no,bitch,conservative,3.2622911,term,explicit,0.0,0
205,EN1934,n,an,no,bitch,conservative,3.2622911,term,explicit,1.0,0
206,EN1934,n,an,no,bitch,conservative,3.2622911,expression,explicit,1.0,0
207,EN1934,n,an,no,bitch,conservative,3.2622911,term,explicit,0.0,sexism
208,EN1934,n,an,no,bitch,conservative,3.2622911,term,explicit,0.0,sexism
209,EN1934,n,an,no,bitch,conservative,3.2622911,term,explicit,0.0,sexism
210,EN1934,n,an,no,bitch,conservative,3.2622911,term,explicit,1.0,sexism
211,EN1934,n,an,no,bitch,conservative,3.2622911,term,explicit,1.0,0
212,EN1934,n,an,no,bitch,conservative,3.2622911,term,explicit,0.0,sexism
213,EN1934,n,an,no,bitch,conservative,3.2622911,term,explicit,1.0,0
214,EN1934,n,an,no,bitch,conservative,3.2622911,term,explicit,0.0,0
215,EN6994,a,dmc,yes,bastard,conservative,2.9925045,term,explicit,1.0,0
216,EN6994,a,dmc,yes,bastard,conservative,2.9925045,term,explicit,1.0,0
217,EN1298,n,cds,no,bastard,conservative,3.3992381,term,explicit,1.0,0
218,EN1298,n,cds,no,bastard,conservative,3.3992381,term,explicit,1.0,0
219,EN1298,n,cds,no,bastard,inclusive,3.3992381,term,explicit,1.0,0
220,EN1298,n,cds,no,bastard,inclusive,3.3992381,term,explicit,1.0,0
221,EN1298,n,ddp,yes,bastard,conservative,3.3992381,term,explicit,1.0,0
222,EN1298,n,ddp,yes,bastard,conservative,3.3992381,term,explicit,1.0,0
223,EN7400,a,is,yes,miserable,conservative,1.726994,term,explicit,0.0,0
224,EN7400,a,is,yes,miserable,conservative,1.726994,term,explicit,0.0,0
225,EN7400,a,is,yes,miserable,conservative,1.726994,term,explicit,1.0,0
226,EN7400,a,is,yes,miserable,conservative,1.726994,term,explicit,1.0,0
227,EN7400,a,dmc,yes,miserable,conservative,1.726994,term,explicit,0.0,0
